2,19,9,9,0,9,PA
4,22,7,7,0,7,PA
8,1,1,1,0,1,PA
9,15,15,15,0,3,PA
10,9,9,9,0,9,PA
14,10,10,10,0,10,PA
15,14,14,14,0,6,PA
16,14,14,14,0,8,PA
17,9,9,9,0,9,PA
18,5,5,5,0,5,PA
19,9,9,9,0,9,PA
24,14,14,14,0,2,PA
25,4,4,4,0,4,PA
29,12,12,12,0,12,PA
31,6,6,6,0,6,PA
32,10,10,10,0,10,PA
35,15,15,15,0,12,PA
37,17,17,6,0,6,PA
38,11,11,11,0,11,PA
39,3,3,3,0,3,PA
40,21,16,6,0,6,PA
41,13,13,13,0,1,PA
42,17,17,14,0,8,PA
43,6,6,6,0,6,PA
46,12,12,12,0,12,PA
47,17,17,3,0,3,PA
52,20,17,1,0,1,PA
54,18,18,12,0,12,PA
58,3,3,3,0,3,WV
59,17,17,15,0,10,WV
60,2,2,2,0,2,PA
61,16,16,10,0,10,PA
62,23,8,8,0,8,PA
63,18,18,4,0,4,PA
64,12,12,12,0,12,PA
65,9,9,9,0,9,PA
66,2,2,2,0,2,PA
67,7,7,7,0,7,PA
68,18,18,7,0,7,PA
70,14,14,14,0,2,PA
71,11,11,11,0,11,PA
72,6,6,6,0,6,PA
73,22,12,12,0,12,PA
74,2,2,2,0,2,PA
75,22,3,3,0,3,PA
77,3,3,3,0,3,PA
78,16,16,2,0,2,PA
79,17,17,15,0,11,PA
80,14,14,14,0,1,PA
81,7,7,7,0,7,PA
82,18,18,14,0,10,PA
84,12,12,12,0,12,PA
88,4,4,4,0,4,PA
94,7,7,7,0,7,PA
196,23,5,5,0,5,OH
199,6,6,6,0,6,OH
203,5,5,5,0,5,OH
204,15,15,15,0,12,OH
208,11,11,11,0,11,OH
209,18,18,14,0,8,OH
216,21,12,12,0,12,OH
217,3,3,3,0,3,OH
218,2,2,2,0,2,OH
220,18,18,13,0,9,OH
224,16,16,13,0,11,OH
228,11,11,11,0,11,OH
229,19,18,5,0,5,OH
230,19,5,5,0,5,OH
231,19,1,1,0,1,OH
440,20,1,1,0,1,OH
465,8,8,8,0,8,OH
470,2,2,2,0,2,PA
471,11,11,11,0,11,PA
477,22,17,12,0,12,PA
482,12,12,12,0,12,PA
483,3,3,3,0,3,PA
487,5,5,5,0,5,PA
494,3,3,3,0,3,PA
495,5,5,5,0,5,PA
515,16,16,7,0,7,OH
1216,20,7,7,0,7,OH
1217,17,17,8,0,8,OH
1225,6,6,6,0,6,OH
